dataset_family,subject,frames,q_index,q_step,network_bytes,smpl_bytes,posemap_bitstream_bytes,posemap_range_bytes,total_transmission_bytes,total_kib_per_frame,network_compression_ratio,network_mse,network_max_absolute_error,reference_psnr_db,reference_ssim,reference_mae_8bit,network_encode_seconds,network_decode_seconds,posemap_bpp,posemap_psnr_db
AvatarReX,lbn1,500,4,0.0001291549665014884,541326070,1230342,81652,27490,542665554,1059.89366015625,1.6687571540753616,1.3903646615068683e-09,9.1552734375e-05,34.74800613690278,0.9915179177697896,0.4684050553739071,73.98856091499329,319.70892572402954,0.004984,42.034095
AvatarReX,lbn1,500,5,0.000774263682681127,357386366,1230342,81652,27490,358725850,700.63642578125,2.527633502392758,4.995887707915679e-08,0.000396728515625,34.67893311427595,0.991435456183542,0.4759777641892433,57.89500904083252,184.98063945770264,0.004984,42.034095
AvatarReX,lbn1,500,6,0.004641588833612782,319129210,1230342,81652,27490,320468694,625.91541796875,2.8306457813748858,1.795298259761874e-06,0.0023345947265625,32.45546862093423,0.9879676953153762,0.6223949347138404,19.128503799438477,85.96983861923218,0.004984,42.034095
AvatarReX,lbn1,500,7,0.02782559402207126,254425770,1230342,81652,27490,255765254,499.54151171875,3.550512009848688,6.451311344063118e-05,0.0139312744140625,24.584112850582216,0.9634262283556811,2.184610725879669,87.73292422294617,69.51509308815002,0.004984,42.034095
AvatarReX,zzr,500,4,0.0001291549665014884,541571774,1293408,90664,27485,542983331,1060.514318359375,1.6680000608746643,1.3904215081508104e-09,9.1552734375e-05,39.89039185090472,0.9958830434627521,0.4069006548821926,62.21292185783386,306.48431181907654,0.005534,41.545475
AvatarReX,zzr,500,5,0.000774263682681127,357475706,1293408,90664,27485,358887263,700.951685546875,2.527001798550193,4.9952501599187124e-08,0.000396728515625,39.69655166547254,0.9957332082829486,0.4188425089716911,64.32783079147339,188.075936794281,0.005534,41.545475
AvatarReX,zzr,500,6,0.004641588833612782,319144134,1293408,90664,27485,320555691,626.085333984375,2.8305134131025578,1.7954258851158438e-06,0.002349853515625,37.83605118855036,0.9940315568825818,0.5656277662515641,77.53327655792236,81.82058429718018,0.005534,41.545475
AvatarReX,zzr,500,7,0.02782559402207126,254437026,1293408,90664,27485,255848583,499.704263671875,3.5503549393003833,6.452086745622663e-05,0.0139312744140625,28.88686993283224,0.9698154798148364,1.9306096179485321,69.82113528251648,53.70807933807373,0.005534,41.545475
THuman4.0,subject00,500,4,0.0001291549665014884,541667998,1614722,66660,27420,543376800,1061.2828125,1.667703750886904,1.3903335001706482e-09,9.1552734375e-05,36.529311840441245,0.9911780912698233,0.5910936015844345,70.90904974937439,316.1589515209198,0.004069,41.978555
THuman4.0,subject00,500,5,0.000774263682681127,357516066,1614722,66660,27420,359224868,701.6110703125,2.526716525237218,4.996298076302275e-08,0.000396728515625,36.229934929824296,0.9908287721754729,0.6063712822496891,76.23873567581177,180.21465921401978,0.004069,41.978555
THuman4.0,subject00,500,6,0.004641588833612782,319150850,1614722,66660,27420,320859652,626.6790078125,2.8304538496450817,1.7954436770385999e-06,0.002349853515625,32.723286399114606,0.9827732252692983,0.9323748090267181,76.32869148254395,81.26278138160706,0.004069,41.978555
THuman4.0,subject00,500,7,0.02782559402207126,254442606,1614722,66660,27420,256151408,500.29571875,3.550277078988886,6.451747527546827e-05,0.0139312744140625,23.0452712312987,0.9313080388392286,3.519956293106079,85.15361213684082,71.31059837341309,0.004069,41.978555
THuman4.0,subject02,500,4,0.0001291549665014884,541986930,2007559,64836,27375,544086700,1062.6693359375,1.6667223912576636,1.3902735883478656e-09,9.1552734375e-05,37.0730197249038,0.9931458155380972,0.4698906705379486,41.748132944107056,309.7569532394409,0.003957,42.081926
THuman4.0,subject02,500,5,0.000774263682681127,357640338,2007559,64836,27375,359740108,702.6173984375,2.5258385478877385,4.996040950633525e-08,0.000396728515625,36.814983494320416,0.9929329908899329,0.47948590758442877,83.14773726463318,189.03842210769653,0.003957,42.081926
THuman4.0,subject02,500,6,0.004641588833612782,319171634,2007559,64836,27375,321271404,627.4832109375,2.830269534541406,1.7952573957394508e-06,0.002349853515625,33.95502751606895,0.9880274319868563,0.7110744343996048,93.16802477836609,82.30513262748718,0.003957,42.081926
THuman4.0,subject02,500,7,0.02782559402207126,254490826,2007559,64836,27375,256590596,501.1535078125,3.5496043853462913,6.451566423246397e-05,0.0139312744140625,24.376451861672948,0.9470635700692727,2.733684964418411,85.44431924819946,73.33099794387817,0.003957,42.081926
